,Event Type,Event Value,ImageID,ExpectedResp.,Correct? (1=F/same)
0,Sync Time,1.5000029259972507,,,
1,Stim 0 Onset,14.568982191005489,,,
2,Button Pressed,2,15 (HAP_M25),2,1
3,Stim 1 Onset,16.565969963005045,,,
4,Button Pressed,1,28 (FEA_F31),1,1
5,Stim 2 Onset,18.56576240499271,,,
6,Button Pressed,1,12 (FEA_F29),1,1
7,Stim 3 Onset,20.56560300999263,,,
8,Button Pressed,2,26 (NEU_M29),2,1
9,Stim 0 Onset,27.569762776998687,,,
10,Bar Orientation,0,diffOri,,
11,Stim 1 Onset,29.565797014001873,,,
12,Bar Orientation,2,,,
13,Button Pressed,2,,,
14,Button Pressed,1,sameOri,1,1
15,Stim 2 Onset,31.565683349006576,,,
16,Bar Orientation,1,diffOri,NR,0
17,Stim 3 Onset,33.56577905200538,,,
18,Bar Orientation,0,,,
19,Button Pressed,2,,,
20,Button Pressed,1,diffOri,2,0
21,Stim 0 Onset,40.568867462992785,,,
22,Button Pressed,1,19 (NEU_F13),1,1
23,Stim 1 Onset,42.565617045998806,,,
24,Button Pressed,2,32 (FEA_M09),2,1
25,Stim 2 Onset,44.56561217899434,,,
26,Button Pressed,2,13 (HAP_M22),2,1
27,Stim 3 Onset,46.56552496099903,,,
28,Button Pressed,2,9 (HAP_M03),1,0
29,Stim 0 Onset,53.56887705500412,,,
30,Bar Orientation,0,,,
31,Button Pressed,2,diffOri,2,1
32,Stim 1 Onset,55.565705493994756,,,
33,Bar Orientation,0,,,
34,Button Pressed,2,diffOri,2,1
35,Stim 2 Onset,57.56574663599895,,,
36,Bar Orientation,0,,,
37,Button Pressed,2,diffOri,2,1
38,Stim 3 Onset,59.565601440001046,,,
39,Bar Orientation,2,,,
40,Button Pressed,1,sameOri,1,1
41,Stim 0 Onset,66.56974796,,,
42,Button Pressed,1,14 (HAP_M23),2,0
43,Stim 1 Onset,68.56554914500157,,,
44,Button Pressed,1,30 (FEA_F35),1,1
45,Stim 2 Onset,70.56581273699703,,,
46,Button Pressed,2,2 (FEA_M11),2,1
47,Stim 3 Onset,72.56559928700153,,,
48,Button Pressed,1,4 (HAP_F02),1,1
49,Stim 0 Onset,79.56890812200436,,,
50,Bar Orientation,3,,,
51,Button Pressed,1,sameOri,1,1
52,Stim 1 Onset,81.56560421299946,,,
53,Bar Orientation,3,,,
54,Button Pressed,1,sameOri,1,1
55,Stim 2 Onset,83.56574173200352,,,
56,Bar Orientation,0,,,
57,Button Pressed,2,diffOri,2,1
58,Stim 3 Onset,85.56570638899575,,,
59,Bar Orientation,3,,,
60,Button Pressed,1,sameOri,1,1
61,Stim 0 Onset,92.56897711500642,20 (NEU_F20),NR,0
62,Stim 1 Onset,94.56588835500588,,,
63,Button Pressed,1,,,
64,Button Pressed,1,18 (NEU_F07),1,1
65,Stim 2 Onset,96.56597199500538,,,
66,Button Pressed,2,22 (NEU_M17),2,1
67,Stim 3 Onset,98.56561766199593,,,
68,Button Pressed,1,8 (HAP_F19),1,1
69,Stim 0 Onset,105.56890395500523,,,
70,Bar Orientation,2,,,
71,Button Pressed,1,sameOri,1,1
72,Stim 1 Onset,107.56581101499614,,,
73,Bar Orientation,2,,,
74,Button Pressed,1,sameOri,1,1
75,Stim 2 Onset,109.56575169200369,,,
76,Bar Orientation,3,,,
77,Button Pressed,2,sameOri,1,0
78,Stim 3 Onset,111.5655129920051,,,
79,Bar Orientation,3,,,
80,Button Pressed,1,sameOri,1,1
81,Stim 0 Onset,118.56884387199534,,,
82,Button Pressed,2,25 (NEU_M24),2,1
83,Stim 1 Onset,120.56556874100352,,,
84,Button Pressed,1,1 (FEA_F09),1,1
85,Stim 2 Onset,122.56579784500354,,,
86,Button Pressed,1,10 (HAP_M05),2,0
87,Stim 3 Onset,124.56573273599497,,,
88,Button Pressed,2,3 (FEA_M12),2,1
89,Stim 0 Onset,131.5692335049971,,,
90,Bar Orientation,2,,,
91,Button Pressed,1,sameOri,1,1
92,Stim 1 Onset,133.56597712999792,,,
93,Bar Orientation,2,,,
94,Button Pressed,1,sameOri,1,1
95,Stim 2 Onset,135.56573604300502,,,
96,Bar Orientation,1,,,
97,Button Pressed,2,diffOri,2,1
98,Stim 3 Onset,137.56572542600043,,,
99,Bar Orientation,1,,,
100,Button Pressed,2,diffOri,2,1
